Review Date,effectDate,Symbol,Weight,Market Cap,Sector,Sub-Sector,Carbon Emissions,Waste,Water Usage
2018-03-01,2018-03-01,MMM,0.0041491812636666,81517906599.92297,Industrials,Conglomerates,761.594893371549,151.86235452331107,653.2361635324942
2018-03-01,2018-03-01,DE,0.0019879099693809,39055960420.93524,Industrials,Farm & Heavy Construction Machinery,747.7153198446038,136.67882870165312,656.6355495201567
2018-03-01,2018-03-01,BLDR,0.0001201714781033,2360978396.818212,Industrials,Building Products & Equipment,758.9167557063336,157.44036821243498,735.5984620131162
2018-03-01,2018-03-01,SYF,0.0005974754059277,11738446994.993324,Financial Services,Credit Services,279.81715259987317,20.445360200901703,103.07864218274705
2018-03-01,2018-03-01,PARA,0.0016313796998616,32051301100.498814,Communication Services,Entertainment,146.97204999758304,53.348751921764524,184.94221899144944
2018-03-01,2018-03-01,DELL,0.0006814684202227,13388636335.792349,Technology,Computer Hardware,203.90718084409554,32.71213081606448,101.71402218414715
2018-03-01,2018-03-01,PNR,0.0003448305514344,6774797941.65267,Industrials,Specialty Industrial Machinery,823.7880645547133,148.6949241919178,698.4399869095781
2018-03-01,2018-03-01,PEP,0.0061158028947345,120155620464.7312,Consumer Defensive,Beverages - Non-Alcoholic,580.4706508796647,75.09154828012774,499.36953506492654
2018-03-01,2018-03-01,COF,0.0016562015629313,32538969916.77244,Financial Services,Credit Services,309.39775249401157,18.19323277254382,101.61339534116185
2018-03-01,2018-03-01,STLD,0.000318860812374,6264577098.401473,Basic Materials,Steel,2339.675126620181,216.97602496821102,997.7174522036461
2018-03-01,2018-03-01,PNC,0.0024685571081391,48499112232.09203,Financial Services,Banks - Regional,271.43160145296196,18.69085768607481,102.47843550523912
2018-03-01,2018-03-01,CTRA,0.0006898832608524,13553960564.57778,Energy,Oil & Gas E&P,4087.8630360388815,435.58995748296667,1570.7321487517486
2018-03-01,2018-03-01,PNW,0.000332545004401,6533426930.854731,Utilities,Utilities - Regulated Electric,2472.5164431541266,291.04276020202224,1216.3400969298323
2018-03-01,2018-03-01,PH,0.00103160637915,20267707559.521152,Industrials,Specialty Industrial Machinery,868.6613596140685,158.71842941039873,724.3880026397445
2018-03-01,2018-03-01,CPB,0.0005033052776755,9888310490.573277,Consumer Defensive,Packaged Foods,600.6911588738312,82.50522810796554,460.045473944612
2018-03-01,2018-03-01,PSX,0.0014340205106621,28173835420.057858,Energy,Oil & Gas Refining & Marketing,4192.792332961674,427.6825162132596,1567.3494856892623
2018-03-01,2018-03-01,CCI,0.0017720887136037,34815775224.69332,Real Estate,REIT - Specialty,352.0872642811954,59.895029405979805,435.28360306582454
2018-03-01,2018-03-01,CPT,0.0003412086474025,6703639316.413911,Real Estate,REIT - Residential,326.6962730501999,58.45243801194614,415.34948919062595
2018-03-01,2018-03-01,SBUX,0.0028391719291336,55780487145.001335,Consumer Cyclical,Restaurants,483.80100035780004,94.05888675554931,595.8214144160482
2018-03-01,2018-03-01,PM,0.0055161348753301,108374095751.69212,Consumer Defensive,Tobacco,557.5041058513976,74.03496138021224,456.8139879609936
2018-03-01,2018-03-01,CSX,0.0016138463523363,31706827891.17731,Industrials,Railroads,734.7197269713928,142.59396726964977,663.479797770989
2018-03-01,2018-03-01,PCG,0.0043528182403456,85518710370.67418,Utilities,Utilities - Regulated Electric,2360.304910760892,319.80561085857744,1282.6114748686978
2018-03-01,2018-03-01,CZR,0.0003680928812626,7231827005.878147,Consumer Cyclical,Resorts & Casinos,468.05363342686604,93.29338192567849,589.5014787817745
2018-03-01,2018-03-01,STT,0.00124341040199,24428967204.298,Financial Services,Asset Management,321.94440918009997,19.416068416678954,108.60587812507406
2018-03-01,2018-03-01,CMI,0.0009690673320304,19039018842.88393,Industrials,Specialty Industrial Machinery,720.1729705274208,150.49804470745215,769.6320324042141
2018-03-01,2018-03-01,PFE,0.0075190958133138,147725758716.05148,Healthcare,Drug Manufacturers - General,163.4313538417643,42.381740098706466,310.1991480135169
2018-03-01,2018-03-01,CVS,0.0036163375079843,71049261161.74335,Healthcare,Healthcare Plans,147.86147396166186,39.2150853352484,329.3479672416551
2018-03-01,2018-03-01,SWK,0.0010504416956738,20637760221.86393,Industrials,Tools & Accessories,723.2122555473791,138.90441515681192,768.7981394514046
2018-03-01,2018-03-01,CDNS,0.0005389200104415,10588024066.507343,Technology,Software - Application,202.98525940655665,31.96164324561808,109.88907099308653
2018-03-01,2018-03-01,DECK,0.0001227308391898,2411261511.6668363,Consumer Cyclical,Footwear & Accessories,499.46995965246975,99.40180725621737,629.8775786588842
2018-03-01,2018-03-01,BG,0.0004598833455956,9035210859.888763,Consumer Defensive,Farm Products,596.9842566377828,85.08838951861438,468.0164090880113
2018-03-01,2018-03-01,IQV,0.0009143821326487,17964632670.69458,Healthcare,Diagnostics & Research,147.92268277438288,38.44225318991293,284.8811246772346
2018-03-01,2018-03-01,GPC,0.0005345353752502,10501880256.612217,Consumer Cyclical,Auto Parts,501.9088306670395,101.9812773968713,641.5662227735461
2018-03-01,2018-03-01,ITW,0.0020506918358037,40289419746.52277,Industrials,Specialty Industrial Machinery,753.0413555730873,162.06098970030857,698.3992305550069
2018-03-01,2018-03-01,LLY,0.0031543060360272,61971846610.82056,Healthcare,Drug Manufacturers - General,153.24917922363943,36.06585507584194,272.5180791811595
2018-03-01,2018-03-01,AMZN,0.0397102043621629,780176262388.2064,Consumer Cyclical,Internet Retail,477.83935817788586,99.31087146996369,544.0423773818345
2018-03-01,2018-03-01,WBA,0.0023573826728125,46314896441.22968,Healthcare,Pharmaceutical Retailers,159.80396142064794,42.38632709688544,284.7057882703296
2018-03-01,2018-03-01,JNPR,0.0003543666127047,6962150506.548159,Technology,Communication Equipment,182.5307270887388,27.460443363426297,94.41270293179457
2018-03-01,2018-03-01,ACN,0.0045739363119612,89862960757.45737,Technology,Information Technology Services,191.1217045389326,31.443214126640754,109.71992395792398
2018-03-01,2018-03-01,HD,0.0078114409983919,153469390044.19348,Consumer Cyclical,Home Improvement Retail,502.32415163944677,104.53113229776345,589.4760350801464
2018-03-01,2018-03-01,KHC,0.0029068685594039,57110505583.05593,Consumer Defensive,Packaged Foods,522.7625925511039,75.16452901915143,524.7263015800451
2018-03-01,2018-03-01,YUM,0.0010088880562604,19821366460.943485,Consumer Cyclical,Restaurants,500.96460890099826,104.0408336558637,653.7834675708569
2018-03-01,2018-03-01,DOC,0.0005392118023474,10593756827.700249,Real Estate,REIT - Healthcare Facilities,365.76648632175676,54.91411783224899,370.20759584559227
2018-03-01,2018-03-01,SMCI,5.542801197173967e-05,1088980021.7932005,Technology,Computer Hardware,208.1176881747671,30.46209800070153,103.42524481827517
2018-03-01,2018-03-01,HWM,0.0004891070854776,9609362227.788565,Industrials,Aerospace & Defense,878.6177945851392,157.23323408119478,641.2598048210734
