Review Date,effectDate,Symbol,Weight,Market Cap,Sector,Sub-Sector
2018-03-01,2018-03-01,MMM,0.0041491812636666,81517906599.92297,Industrials,Conglomerates
2018-03-01,2018-03-01,DE,0.0019879099693809,39055960420.93524,Industrials,Farm & Heavy Construction Machinery
2018-03-01,2018-03-01,BLDR,0.0001201714781033,2360978396.818212,Industrials,Building Products & Equipment
2018-03-01,2018-03-01,SYF,0.0005974754059277,11738446994.993324,Financial Services,Credit Services
2018-03-01,2018-03-01,PARA,0.0016313796998616,32051301100.498814,Communication Services,Entertainment
2018-03-01,2018-03-01,DELL,0.0006814684202227,13388636335.792349,Technology,Computer Hardware
2018-03-01,2018-03-01,PNR,0.0003448305514344,6774797941.65267,Industrials,Specialty Industrial Machinery
2018-03-01,2018-03-01,PEP,0.0061158028947345,120155620464.7312,Consumer Defensive,Beverages - Non-Alcoholic
2018-03-01,2018-03-01,COF,0.0016562015629313,32538969916.77244,Financial Services,Credit Services
2018-03-01,2018-03-01,STLD,0.000318860812374,6264577098.401473,Basic Materials,Steel
2018-03-01,2018-03-01,PNC,0.0024685571081391,48499112232.09203,Financial Services,Banks - Regional
2018-03-01,2018-03-01,CTRA,0.0006898832608524,13553960564.57778,Energy,Oil & Gas E&P
2018-03-01,2018-03-01,PNW,0.000332545004401,6533426930.854731,Utilities,Utilities - Regulated Electric
2018-03-01,2018-03-01,PH,0.00103160637915,20267707559.521152,Industrials,Specialty Industrial Machinery
2018-03-01,2018-03-01,CPB,0.0005033052776755,9888310490.573277,Consumer Defensive,Packaged Foods
2018-03-01,2018-03-01,PSX,0.0014340205106621,28173835420.057858,Energy,Oil & Gas Refining & Marketing
2018-03-01,2018-03-01,CCI,0.0017720887136037,34815775224.69332,Real Estate,REIT - Specialty
2018-03-01,2018-03-01,CPT,0.0003412086474025,6703639316.413911,Real Estate,REIT - Residential
2018-03-01,2018-03-01,SBUX,0.0028391719291336,55780487145.001335,Consumer Cyclical,Restaurants
2018-03-01,2018-03-01,PM,0.0055161348753301,108374095751.69212,Consumer Defensive,Tobacco
2018-03-01,2018-03-01,CSX,0.0016138463523363,31706827891.17731,Industrials,Railroads
2018-03-01,2018-03-01,PCG,0.0043528182403456,85518710370.67418,Utilities,Utilities - Regulated Electric
2018-03-01,2018-03-01,CZR,0.0003680928812626,7231827005.878147,Consumer Cyclical,Resorts & Casinos
2018-03-01,2018-03-01,STT,0.00124341040199,24428967204.298,Financial Services,Asset Management
2018-03-01,2018-03-01,CMI,0.0009690673320304,19039018842.88393,Industrials,Specialty Industrial Machinery
2018-03-01,2018-03-01,PFE,0.0075190958133138,147725758716.05148,Healthcare,Drug Manufacturers - General
2018-03-01,2018-03-01,CVS,0.0036163375079843,71049261161.74335,Healthcare,Healthcare Plans
2018-03-01,2018-03-01,SWK,0.0010504416956738,20637760221.86393,Industrials,Tools & Accessories
2018-03-01,2018-03-01,CDNS,0.0005389200104415,10588024066.507343,Technology,Software - Application
2018-03-01,2018-03-01,DECK,0.0001227308391898,2411261511.6668363,Consumer Cyclical,Footwear & Accessories
2018-03-01,2018-03-01,BG,0.0004598833455956,9035210859.888763,Consumer Defensive,Farm Products
2018-03-01,2018-03-01,IQV,0.0009143821326487,17964632670.69458,Healthcare,Diagnostics & Research
2018-03-01,2018-03-01,GPC,0.0005345353752502,10501880256.612217,Consumer Cyclical,Auto Parts
2018-03-01,2018-03-01,ITW,0.0020506918358037,40289419746.52277,Industrials,Specialty Industrial Machinery
2018-03-01,2018-03-01,LLY,0.0031543060360272,61971846610.82056,Healthcare,Drug Manufacturers - General
2018-03-01,2018-03-01,AMZN,0.0397102043621629,780176262388.2064,Consumer Cyclical,Internet Retail
2018-03-01,2018-03-01,WBA,0.0023573826728125,46314896441.22968,Healthcare,Pharmaceutical Retailers
2018-03-01,2018-03-01,JNPR,0.0003543666127047,6962150506.548159,Technology,Communication Equipment
2018-03-01,2018-03-01,ACN,0.0045739363119612,89862960757.45737,Technology,Information Technology Services
2018-03-01,2018-03-01,HD,0.0078114409983919,153469390044.19348,Consumer Cyclical,Home Improvement Retail
2018-03-01,2018-03-01,KHC,0.0029068685594039,57110505583.05593,Consumer Defensive,Packaged Foods
2018-03-01,2018-03-01,YUM,0.0010088880562604,19821366460.943485,Consumer Cyclical,Restaurants
2018-03-01,2018-03-01,DOC,0.0005392118023474,10593756827.700249,Real Estate,REIT - Healthcare Facilities
2018-03-01,2018-03-01,SMCI,5.542801197173967e-05,1088980021.7932005,Technology,Computer Hardware
