Review Date,Symbol,Sector,Carbon Emissions,Waste,Water Usage
2018-03-01,MMM,Industrials,319.3717981931979,141.42037658485452,685.1642306039317
2018-03-01,AZO,Consumer Discretionary,186.3464094401645,96.39821876866021,630.4129549962971
2018-03-01,MOS,Materials,469.30583604504864,184.8891246569054,1072.7035628324354
2018-03-01,EQR,Real Estate,125.08099998423587,56.25032345190883,378.7594917226988
2018-03-01,MSI,Information Technology,51.36359210229914,27.599399075462845,104.12250518973052
2018-03-01,TRV,Financials,31.30040261334869,21.14287906099754,90.81069026562318
2018-03-01,AVB,Real Estate,111.27794310398711,65.68720078070241,361.18457052088183
2018-03-01,EQIX,Real Estate,115.66164695684928,64.73649167190521,421.9316119519
2018-03-01,MSCI,Financials,31.045683175708163,19.642307545478708,97.94842208493237
2018-03-01,TRMB,Information Technology,52.59041414466126,29.954815600118895,103.92038345841561
2018-03-01,EFX,Industrials,290.0214828532254,158.9740668737045,641.2395453049472
2018-03-01,AVY,Materials,499.70124992330693,191.859501495249,983.3500687946623
2018-03-01,NDAQ,Financials,27.92955825189712,18.18917588951346,102.05813953273525
2018-03-01,EQT,Energy,788.541192161114,435.1659561219347,1483.393934854573
2018-03-01,NTAP,Information Technology,51.609492870338194,30.06960198950162,92.52528505954214
2018-03-01,TT,Industrials,284.1930738982037,163.98568952836146,639.1958430500422
2018-03-01,AXON,Industrials,274.5939914706563,148.61847123371092,686.1648229355411
2018-03-01,EPAM,Information Technology,45.173191072643334,29.23714200387839,104.13427239873624
2018-03-01,NFLX,Communication Services,92.18171431958417,51.675884000048036,181.57637761380502
2018-03-01,TDG,Industrials,313.88274713280526,147.3277604317067,725.4464923130396
2018-03-01,ERIE,Financials,27.350108746216847,19.26237679015447,90.91532896647716
2018-03-01,MS,Financials,29.40109436585648,19.022371144184017,99.47290378594059
2018-03-01,ESS,Real Estate,121.11145748104404,57.451439481956356,378.29319343304115
2018-03-01,MOH,Health Care,63.59586861517069,40.31345263350823,276.7264924556097
2018-03-01,EXC,Utilities,598.8237977730998,280.7625258651278,1094.4439894897714
2018-03-01,USB,Financials,28.68867762198498,19.40145602544174,96.52834774245403
2018-03-01,T,Communication Services,94.85997480520427,48.793672990368414,194.21058522050038
2018-03-01,TAP,Consumer Staples,146.95805657887885,81.25558842244959,478.0467961621161
2018-03-01,ES,Utilities,628.5473735895762,311.7593767285689,1234.360531051657
2018-03-01,MDLZ,Consumer Staples,136.08501310445607,82.23690468159842,493.5112766032991
2018-03-01,TSN,Consumer Staples,140.320178351104,78.9548436425687,486.44180580621594
2018-03-01,ATO,Utilities,560.0444322972966,312.4102672079401,1108.9662226208031
2018-03-01,EVRG,Utilities,587.3177649579201,304.92510069820884,1175.7652043949963
2018-03-01,MPWR,Information Technology,51.70346851448821,27.14245095635878,108.88364911166421
2018-03-01,EG,Financials,29.732316451492327,19.64532341255277,93.50373345097431
2018-03-01,TYL,Information Technology,48.76113647724267,31.04869747003789,104.72054015898269
2018-03-01,ADSK,Information Technology,54.22582011128364,28.612953121462066,92.73522845989172
2018-03-01,MNST,Consumer Staples,163.912544593114,85.24122771211412,534.8798211909409
2018-03-01,EL,Consumer Staples,147.93751721142124,75.79976893459525,465.9608810697754
2018-03-01,MCO,Financials,31.717282682195215,19.871761196364155,101.81109096976029
2018-03-01,TFC,Financials,29.281839592773174,20.644521671938108,98.74353478992977
2018-03-01,CMG,Consumer Discretionary,193.23836306776246,97.58805804417061,575.1191506560666
2018-03-01,EOG,Energy,807.3361034488578,366.7142436557655,1634.4488988925652
2018-03-01,EXPE,Consumer Discretionary,203.73631023270784,108.6825689790085,555.7547757422036
2018-03-01,TSCO,Consumer Discretionary,215.65214208288523,94.88902064268494,586.1495699363168
2018-03-01,NEM,Materials,479.1224563291158,186.64079013486048,1088.801576666945
2018-03-01,BBY,Consumer Discretionary,189.02902367288797,96.32498009190694,541.8681347835166
2018-03-01,ECL,Materials,470.30610305239816,209.97890108886477,1022.6255138764686
2018-03-01,NTRS,Financials,32.4932372090996,21.844165128850904,98.17165774641533
2018-03-01,EBAY,Consumer Discretionary,214.66648844827625,99.18577860753342,588.4363510130946
2018-03-01,TSLA,Consumer Discretionary,213.47641769820748,99.41749513710192,592.8977795034631
2018-03-01,TECH,Health Care,74.23125787264709,40.151417686860924,328.9850445084547
2018-03-01,NOC,Industrials,288.96635929747555,154.50023147546193,648.3443901840152
2018-03-01,ETN,Industrials,301.82405190068704,135.11106752244177,759.5045978454687
2018-03-01,TXN,Information Technology,45.15070779236742,28.45986802682986,94.4882896783619
2018-03-01,NCLH,Consumer Discretionary,181.05561678990858,105.65153589361668,574.749002006049
2018-03-01,BIIB,Health Care,67.35376490718706,40.8930481905854,328.4873046050382
2018-03-01,EMN,Materials,516.1260132077447,217.59347840152867,929.6790413071011
2018-03-01,NRG,Utilities,543.0102391039583,329.7271135605022,1221.2662945007082
2018-03-01,DD,Materials,479.95857519483866,204.47096323219617,1000.7043031511429
2018-03-01,TFX,Health Care,74.24769072007204,43.08491463586246,290.37914103631186
2018-03-01,BLK,Financials,29.68441286507928,21.283914357688488,96.89546694057253
2018-03-01,NUE,Materials,475.5238765769377,211.99337267058925,1010.450308387753
2018-03-01,DUK,Utilities,556.0707973011608,280.91200650159846,1276.8286393358094
2018-03-01,TER,Information Technology,51.07568217303312,31.938566023118348,95.63819291866791
2018-03-01,NSC,Industrials,272.02359214020936,156.33482474746268,637.5655039081853
2018-03-01,EIX,Utilities,611.6370596089233,308.6245634526292,1112.9179339172094
2018-03-01,NDSN,Industrials,297.6435724037915,135.21262808417183,647.5109660070823
2018-03-01,ETR,Utilities,645.5066740578561,296.757500331078,1166.7416393162694
2018-03-01,NWSA,Communication Services,109.62112220167124,54.89949357458352,180.32749921082737
2018-03-01,TJX,Consumer Discretionary,206.3472947316686,98.94238581285545,599.5030033381555
2018-03-01,BALL,Materials,499.2442953159477,196.7012476083892,1010.2171136839373
2018-03-01,ENPH,Information Technology,46.57626654341704,32.108630205227,107.18911010357569
2018-03-01,NWS,Communication Services,100.29368236311078,52.440592670011775,201.65233280653112
2018-03-01,EMR,Industrials,310.7776180712373,147.35029534552916,722.1365498470227
2018-03-01,TMO,Health Care,66.9482725851407,36.25843268886454,283.37132818546706
2018-03-01,BAC,Financials,30.957279235201064,19.637700538731092,105.93463216414808
2018-03-01,NEE,Utilities,612.7684289576442,328.74112076067524,1259.2885376291256
2018-03-01,ELV,Health Care,73.15649087682914,41.359090902363285,327.8305973071924
2018-03-01,NKE,Consumer Discretionary,216.6022809359014,104.07237853970402,634.6959056660273
2018-03-01,TXT,Industrials,286.81293503529514,151.39816528826898,747.0577252193839
2018-03-01,BAX,Health Care,65.92416540474014,38.97509693053868,316.4745076177996
2018-03-01,EA,Communication Services,108.3066534625591,48.71413040245742,201.27171771498163
2018-03-01,NI,Utilities,587.4194810406519,291.992066010851,1091.1692822204595
2018-03-01,EW,Health Care,66.09218953170323,36.42760449665648,299.8282321511986
2018-03-01,TPL,Energy,827.8069854279826,389.83492106376076,1534.5777390068447
2018-03-01,BDX,Health Care,74.0959652504549,38.09862019966555,316.577126342961
2018-03-01,BKR,Energy,879.7166220381001,393.26627294962407,1448.738075892065
2018-03-01,AIZ,Financials,31.24989124712365,19.675383007416997,99.81176295792001
2018-03-01,MHK,Consumer Discretionary,219.8146153050855,105.67166070919245,653.8750615056941
2018-03-01,VRSK,Industrials,293.81341570906505,145.7125222792174,685.7685439821471
2018-03-01,APH,Information Technology,50.24617950134642,28.41734279039691,107.9553450873762
2018-03-01,MMC,Financials,30.280377277024904,18.91607531031599,100.73973287508173
2018-03-01,MLM,Materials,461.1408323570538,181.32437456954,1063.143022600772
2018-03-01,VRSN,Information Technology,46.532496606719434,29.062711452518574,90.21041280461054
2018-03-01,ADI,Information Technology,52.916890822983,32.48189550828231,92.11102193748548
2018-03-01,FTV,Industrials,324.2700842727707,161.35373990060805,648.3384338437387
